# schizophrenia 段階0 の中間検証用の候補リスト（1000 遺伝子）
# 作成 2026-09-18。順序は下の構成の順（段階0 は並びに依存しない）。
#   1. 正解 11: C4A, GRIN2A, GRM3, DRD2, DRD3, CHRM1, CHRM3, CHRM4, COMT, GAD1, SLC6A3
#      Open Targets（MONDO_0005090）: DRD2 0.733 / DRD3 0.672 / GRIN2A 0.588 / GRM3 0.579 / CHRM3 0.489 / CHRM4 0.459 /
#      CHRM1 0.431 / SLC6A3 0.424 / COMT 0.240 / GAD1 0.120 / C4A 0.088（文献のみ）。CHRM1・CHRM4 は xanomeline（ChEMBL: M1/M4 作動薬）
#   2. 同族デコイ 50: 正解と同じ系統（ムスカリン・ニコチン・グルタミン酸・ドパミン・セロトニン・アドレナリン受容体、
#      SLC6A、GABA-A、補体）の正式記号のうち Open Targets < 0.1 の 55 個から seed=0 で 50
#   3. Open Targets 関連スコア上位 100
#   ここまで重複を除いて 153 件。残り 847 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名
C4A		Complement C4-A	CO4,CPAMD2
KRTAP9-2		Keratin-associated protein 9-2	KAP9.2,KRTAP9.2
LIPE		Hormone-sensitive lipase	
NOL4L		Nucleolar protein 4-like	C20orf112,C20orf113
PARD3B		Partitioning defective 3 homolog B	ALS2CR19,PAR3B,PAR3L
SELENBP1		Methanethiol oxidase	SBP
HSPE1		10 kDa heat shock protein, mitochondrial	
SPRR1B		Cornifin-B	
MAGED2		Melanoma-associated antigen D2	BCG1
DDX51		ATP-dependent RNA helicase DDX51	
PBXIP1		Pre-B-cell leukemia transcription factor-interacting protein 1	HPIP
DMRTC2		Doublesex- and mab-3-related transcription factor C2	
DAPK1		Death-associated protein kinase 1	DAPK
DDN		Dendrin	
ASPNAT			
TEX26		Testis-expressed protein 26	C13orf26
BEST1		Bestrophin-1	VMD2
RNF215		RING finger protein 215	
TNFRSF17		Tumor necrosis factor receptor superfamily member 17	BCM,BCMA
POU3F1		POU domain, class 3, transcription factor 1	OCT6,OTF6
CITED2		Cbp/p300-interacting transactivator 2	MRG1
PLCD1		1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	
PSMG3		Proteasome assembly chaperone 3	C7orf48,PAC3
TFG		Protein TFG	
CCT6A		T-complex protein 1 subunit zeta	CCT6,CCTZ
SPG11		Spatacsin	
